プラント	指図タイプ	MRP管理者	指図番号	作業/活動番号	確認番号	テキスト（短）	作業区	管理キー	品目コード	品目テキスト	予定数	工程実績	工数実績	計画終了日	WBS要素	受注伝票番号	受注明細番号
P100	ZP10	BL0	10133043	1060	0015356787	検査手直し(他責)	C0980	SNF	U00A0328601	＆PV-DISPE S17 LEDﾀｲﾌﾟ	15			20250821		0000000000	000000
P100	ZP10	B55	10133057	0010	0015374977	メイン部品払出	CW010	SN	A3A416200	RS-RC 15V  A 10M E	1	1		20250805		0000000000	000000
P100	ZP10	B55	10133057	0020	0015374978	部品仕分け	C0931	SN	A3A416200	RS-RC 15V  A 10M E	1	1		20250805		0000000000	000000
P100	ZP10	B55	10133057	0025	0015374979	外注加工(スクリーン印刷)	C0922	SG	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	0030	0015374980	外注加工	C0922	SN	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	0035	0015776339	外注組立	C0922	SG	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	0040	0015374981	総合組立	C0922	MSN	A3A416200	RS-RC 15V  A 10M E	1	1	15	20250805		0000000000	000000
P100	ZP10	B55	10133057	0050	0015374982	製品検査	C0953	SN	A3A416200	RS-RC 15V  A 10M E	1	1	85	20250805		0000000000	000000
P100	ZP10	B55	10133057	1000	0015374983	出荷検査	C0960	SN	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	1030	0015374984	組立小型手直(自責)	CZ030	SNF	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	1040	0015374985	組立小型手直(他責)	CZ040	SNF	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	1050	0015374986	検査手直し(自責)	C0970	SNF	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133057	1060	0015374987	検査手直し(他責)	C0980	SNF	A3A416200	RS-RC 15V  A 10M E	1			20250805		0000000000	000000
P100	ZP10	B55	10133099	0010	0015446090	メイン部品払出	CW010	SN	A00A1245100	HKD-RE PANEL	10	10		20250827		0000000000	000000
P100	ZP10	B55	10133099	0020	0015446091	部品仕分け	C0931	SN	A00A1245100	HKD-RE PANEL	10	10		20250827		0000000000	000000
P100	ZP10	B55	10133099	0030	0015446092	外注加工	C0922	SN	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	0040	0015446093	総合組立	C0922	MSN	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	0050	0015446094	製品検査	C0953	SN	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	1000	0015446095	出荷検査	C0960	SN	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	1030	0015446096	組立小型手直(自責)	CZ030	SNF	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	1040	0015446097	組立小型手直(他責)	CZ040	SNF	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	1050	0015446098	検査手直し(自責)	C0970	SNF	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	B55	10133099	1060	0015446099	検査手直し(他責)	C0980	SNF	A00A1245100	HKD-RE PANEL	10			20250827		0000000000	000000
P100	ZP10	CE0	10133236	0010	0015541113	ヒートシンク（加工）	A0510	MSN	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1	2	11	20250618		0000000000	000000
P100	ZP10	CE0	10133236	0015	0015790673	NEXUS  加工のみ	Y0010	SG	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1	1		20250618		0000000000	000000
P100	ZP10	CE0	10133236	0020	0015541114	ヒートシンク（MC）	A0520	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1	2		20250618		0000000000	000000
P100	ZP10	CE0	10133236	1000	0015541115	ヒートシンク（フライス盤）	A0521	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1	2		20250618		0000000000	000000
P100	ZP10	CE0	10133236	1010	0015541116	自部署手直し（ヒートシンク）	A0580	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1			20250618		0000000000	000000
P100	ZP10	CE0	10133236	1020	0015541117	他部署手直し（ヒートシンク）	A0585	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1			20250618		0000000000	000000
P100	ZP10	CE0	10133236	1030	0015541118	自部署手直し機械時間（ヒートシンク）MC	A0590	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1			20250618		0000000000	000000
P100	ZP10	CE0	10133236	1040	0015541119	自部署手直し機械時間（ヒートシンク）フラ	A0591	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1			20250618		0000000000	000000
P100	ZP10	CE0	10133236	1050	0015541120	他部署手直し機械時間（ヒートシンク）MC	A0595	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1			20250618		0000000000	000000
P100	ZP10	CE0	10133236	1060	0015541121	他部署手直し機械時間（ヒートシンク）フラ	A0596	SNF	E1B412500	1ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	1			20250618		0000000000	000000
P100	ZP10	CE0	10133237	0010	0015541125	ヒートシンク（加工）	A0510	MSN	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4	8	15	20250618		0000000000	000000
P100	ZP10	CE0	10133237	0015	0015790674	NEXUS  加工のみ	Y0010	SG	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4	4		20250618		0000000000	000000
P100	ZP10	CE0	10133237	0020	0015541126	ヒートシンク（MC）	A0520	SNF	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4	8		20250618		0000000000	000000
P100	ZP10	CE0	10133237	1000	0015541127	ヒートシンク（フライス盤）	A0521	SNF	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4	8		20250618		0000000000	000000
P100	ZP10	CE0	10133237	1010	0015541128	自部署手直し（ヒートシンク）	A0580	SNF	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4			20250618		0000000000	000000
P100	ZP10	CE0	10133237	1020	0015541129	他部署手直し（ヒートシンク）	A0585	SNF	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4			20250618		0000000000	000000
P100	ZP10	CE0	10133237	1030	0015541130	自部署手直し機械時間（ヒートシンク）MC	A0590	SNF	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4			20250618		0000000000	000000
P100	ZP10	CE0	10133237	1040	0015541131	自部署手直し機械時間（ヒートシンク）フラ	A0591	SNF	E1B412600	2ｼﾞｶﾞﾜﾋｰﾄｼﾝｸ	4			20250618		0000000000	000000
