連番1	連番2	連番3	所要区分	親指図番号	割当(WBS)	受注伝票	入出庫番号	入庫保管場所	親品目コード	親品目テキスト	原価センタテキスト	出荷伝票	出庫数量	親MRP管理者	親指図計画開始日	親指図計画終了日	BOM明細番号	子指図番号	子品目コード	子品目テキスト	所要日	所要残数	在庫数	在庫引当	所要引当残数	子MRP管理者	購買発注番号	子指図計画開始日	子指図計画終了日	計画数量	計画引当	計画引当残数	作業区４	作業区５	払出完了	進捗	工程(子)	C	A	C,A以外	作業0020時間(分)	作業0030時間(分)	作業0040時間(分)	作業0050時間(分)	作業0060時間(分)	検査	標準原価	指図テキスト
0000000031	0000000001		製造指図出庫	10132922			8103485-0016	1210	U0A036100	PL-2-1 ﾌﾟﾗｽﾞﾏﾕﾆﾂﾄ			1.000	CK9	2025/10/06	2025/10/20	0220		970106210	GK-621A	2025/10/06	2.000	0.000	0.000	2.000																						21,176.000000	
0000000032	0000000001		製造指図出庫	10132922			8103485-0017	1210	U0A036100	PL-2-1 ﾌﾟﾗｽﾞﾏﾕﾆﾂﾄ			1.000	CK9	2025/10/06	2025/10/20	0230		970106220	GK-622C	2025/10/06	2.000	0.000	0.000	2.000																						20,186.000000	
0000000033	0000000001		製造指図出庫	10132922			8103485-0018	1210	U0A036100	PL-2-1 ﾌﾟﾗｽﾞﾏﾕﾆﾂﾄ			1.000	CK9	2025/10/06	2025/10/20	0240		970106221	GK-622CT1	2025/10/06	2.000	0.000	0.000	2.000																						19,703.000000	
0000000034	0000000001		製造指図出庫	40164751	G-0344117-10	344117-0010	8146250-0002		A00A2137600	予備品GK1280B			1.000	C51	2025/10/29	2025/11/13	0010		970112800	GK-1280 B	2025/10/29	1.000	0.000	0.000	1.000																						44,096.000000	
0000000035	0000000002		製造指図出庫	40164741	G-0344040-10	344040-0010	8138649-0019		A00A2135500	GPP2 No7,8 部品交換			1.000	C51	2025/12/17	2026/01/15	0180		970112800	GK-1280 B	2025/12/17	2.000	0.000	0.000	2.000																						44,096.000000	
0000000036	0000000003		製造指図出庫	40163307	G-0340870-10	340870-0010	8093568-0081		A00A2109400	SCA4F7-44-5300LC			1.000	C17	2026/01/15	2026/04/01	0800		970112800	GK-1280 B	2026/01/15	1.000	0.000	0.000	1.000																						44,096.000000	
0000000037	0000000004		製造指図出庫	40164782	G-0340870-10-01-07		8148353-0006		A00A2109401	SCA4F7-44-5300LC 予備品			1.000	C18	2026/01/15	2026/04/01	0060		970112800	GK-1280 B	2026/01/15	1.000	0.000	0.000	1.000																						44,096.000000	
0000000038	0000000001		製造指図出庫	10133600			8175970-0016	1210	U00A0326300	FXP-RFC-4W-L16501			5.000	B10	2025/11/17	2025/12/08	0060		970405160	DIMCOM No. 14661 RoHS	2025/11/17	5.000	22.000	5.000	0.000																						6,134.000000	
0000000039	0000000002		製造指図出庫	10133601			8175971-0016	1210	U00A0326400	FXP-RFC-4W-R16501			5.000	B10	2025/11/17	2025/12/08	0060		970405160	DIMCOM No. 14661 RoHS	2025/11/17	5.000	22.000	5.000	0.000																						6,134.000000	
0000000040	0000000003		製造指図出庫	40165513	L-0346317-10-01-01		8174029-0013		U00A0427600	FXP-RFC-4W-L16501 ICA-V4			1.000	B10	2025/12/02	2025/12/23	0130		970405160	DIMCOM No. 14661 RoHS	2025/12/02	1.000	22.000	1.000	0.000																						6,134.000000	
0000000041		0000000001																50119535	970405160	DIMCOM No. 14661 RoHS			22.000			PC1		2025/11/10	2025/12/01	20.000	0.000	20.000	A0801	A0802	○	○○○○○○○○		560	20	620	0.000	12.000	15.000	1.000	0.000	E	6,134.000000	2025年10月～2026年4月　調光有力案件部材先手配
0000000042		0000000001																50119536	970405240	DIMCOM No.14740A RoHS			83.000			PC1		2026/01/13	2026/02/02	27.000	0.000	27.000	A0801	A0802	○	○○○○○○○○		81	459	54	0.000	16.000	13.000	4.000	18.000	C	1,399.000000	2025年10月～2026年4月　調光有力案件部材先手配
0000000043		0000000001																50118674	970405241	DIMCOM No.14740A S01 RoHS			11.000			PC1		2025/09/10	2025/10/01	18.000	0.000	18.000	A0801	A0802	○	○○○○○○○○		54	270	36	0.000	0.000	0.000	0.000	0.000	C	3,117.000000	92期　上期案件先行手配
0000000044		0000000001																50118673	970405460	DIMCOM No. 14960B RoHS			21.000			PC1		2025/09/10	2025/10/01	20.000	0.000	20.000	A0801	A0802	○	○○○○○○○○		0	40	220	0.000	0.000	0.000	0.000	0.000	A	3,804.000000	92期　上期案件先行手配
0000000045		0000000002																50119534	970405460	DIMCOM No. 14960B RoHS			21.000			PC1		2025/11/10	2025/12/01	20.000	0.000	20.000	A0801	A0802	○	○○○○○○○○		0	40	220	0.000	0.000	0.000	0.000	0.000	A	3,804.000000	2025年10月～2026年4月　調光有力案件部材先手配
0000000046	0000000001		製造指図出庫	40154554	I-0317660-10-01-04		7839186-0078		A00A1957501	ＣＶＣＦ盤			1.000	C28	2025/10/03	2026/01/06	0780		970500620	CV-062	2025/10/03	1.000	0.000	0.000	1.000																						981.000000	
0000000047	0000000002		製造指図出庫	40165433	I-0317660-10-01-08		8170955-0019		A00A1957504	予備品			1.000	C28	2025/10/03	2026/01/06	0190		970500620	CV-062	2025/10/03	1.000	0.000	0.000	1.000																						981.000000	
0000000048	0000000001		出荷			6364049-0010						80916676-0010	1.000						970500630	CV-063D ZNRﾖｳ PC	2025/09/01	1.000	2.000	1.000	0.000																						3,036.000000	
0000000049	0000000001		製造指図出庫	40153278	I-0320172-10-01-04		7815054-0059		A00A1975501	SKS100-150MSP(整流器盤)			1.000	C28	2024/08/08	2026/03/13	0590		970500631	CV-063DT1 ZNRﾖｳ PC	2024/08/08	2.000	17.000	2.000	0.000																						2,897.000000	
0000000050	0000000002		製造指図出庫	40154928	I-0316840-10-01-04		7847123-0049		A00A1954401	入出力盤			1.000	C28	2025/06/09	2025/11/06	0490		970500631	CV-063DT1 ZNRﾖｳ PC	2025/06/09	1.000	17.000	1.000	0.000																						2,897.000000	
0000000051	0000000003		製造指図出庫	40164871	I-0316840-10-01-09		8153833-0010		A00A1954406	予備品			1.000	C28	2025/06/09	2025/11/06	0100		970500631	CV-063DT1 ZNRﾖｳ PC	2025/06/09	1.000	17.000	1.000	0.000																						2,897.000000	
0000000052	0000000004		製造指図出庫	40162314	I-0331840-10-01-04		8062730-0058		A00A1994801	SST100TGD-V2(入出力)			2.000	C28	2025/07/22	2025/09/26	0580		970500631	CV-063DT1 ZNRﾖｳ PC	2025/07/22	2.000	17.000	2.000	0.000																						2,897.000000	
0000000053	0000000005		製造指図出庫	40162316	I-0331840-10-01-05		8062732-0057		A00A1994802	SST100TGD-V2(整流器)			2.000	C28	2025/07/22	2025/09/26	0570		970500631	CV-063DT1 ZNRﾖｳ PC	2025/07/22	2.000	17.000	2.000	0.000																						2,897.000000	
0000000054	0000000006		製造指図出庫	40162440	I-0335841-10-01-04		8063466-0021		A00A2083201	SFST40TGB 入出力盤 電気			1.000	C28	2025/08/20	2025/10/15	0210		970500631	CV-063DT1 ZNRﾖｳ PC	2025/08/20	1.000	17.000	1.000	0.000																						2,897.000000	
